,city,company,jobTitle,meanPay
86,New Delhi (India),Impetus Technologies,Software Engineer,"xx,xxx/yr"
87,New Delhi (India),Cvent,Software Engineer,"xx,xxx/yr"
88,New Delhi (India),Stryker,Software Engineer,"xx,xxx/yr"
89,New Delhi (India),Think Future Technologies,Software Engineer,"xx,xxx/yr"
90,New Delhi (India),Gemalto,Software Engineer,"xx,xxx/yr"
91,New Delhi (India),MakeMyTrip,Software Engineer,"xx,xxx/yr"
92,New Delhi (India),W. Ray Wallace,Software Engineer,"xx,xxx/yr"
93,New Delhi (India),Cavisson Systems,Software Engineer,"xx,xxx/yr"
94,New Delhi (India),Nirvana Solutions,Software Engineer,"xx,xxx/yr"
95,New Delhi (India),Josh Technology Group,Software Engineer,"xx,xxx/yr"
96,New Delhi (India),Ericsson-Worldwide,Software Engineer,"xx,xxx/yr"
97,New Delhi (India),Tata Consultancy Services,Software Engineer - Monthly,"xx,xxx/mo"
98,New Delhi (India),Google,Software Engineer,"xx,xxx/yr"
99,New Delhi (India),JKT,Software Engineer,"xx,xxx/yr"
100,New Delhi (India),NIIT Technologies,Software Engineer,"5,40,058/yr"
101,New Delhi (India),DXC Technology,Software Engineer,"5,75,836/yr"
102,New Delhi (India),Paytm,Software Engineer,"10,01,193/yr"
103,New Delhi (India),Q3 Technologies,Software Engineer,"xx,xxx/yr"
104,New Delhi (India),Samsung Electronics,Software Engineer,"xx,xxx/yr"
105,New Delhi (India),Tata Consultancy Services,Software Engineer,"xx,xxx/yr"
106,New Delhi (India),Azcom Technology,Software Engineer,"xx,xxx/yr"
107,New Delhi (India),Gemini Solutions,Software Engineer,"xx,xxx/yr"
108,New Delhi (India),Tata Consultancy Services,Software Engineer - Monthly,"xx,xxx/mo"
109,New Delhi (India),Capgemini,Software Engineer,"xx,xxx/yr"
110,New Delhi (India),Adobe,Software Engineer,"xx,xxx/yr"
111,New Delhi (India),Ginger Webs,Software Engineer - Monthly,"xx,xxx/mo"
112,New Delhi (India),GlobalLogic,Software Engineer - Monthly,"xx,xxx/mo"
113,New Delhi (India),Times Internet,Software Engineer,"xx,xxx/yr"
114,New Delhi (India),Yamaha Motor Solutions India,Software Engineer,"xx,xxx/yr"
115,New Delhi (India),Comviva,Software Engineer - Monthly,"xx,xxx/mo"
116,New Delhi (India),Samsung Noida Lab,Software Engineer - Monthly,"xx,xxx/mo"
117,New Delhi (India),Wipro,Software Engineer,"xx,xxx/yr"
118,New Delhi (India),Yatra Online Pvt Ltd,Software Engineer,"xx,xxx/yr"
119,New Delhi (India),Publicis Sapient,Software Engineer,"xx,xxx/yr"
120,New Delhi (India),Hughes Systique,Software Engineer,"7,66,398/yr"
121,New Delhi (India),Dell Technologies,Software Engineer,"6,46,223/yr"
122,New Delhi (India),Acezd,Software Engineer,"5,85,429/yr"
123,New Delhi (India),Wingify,Software Engineer,"xx,xxx/yr"
124,New Delhi (India),ION Group,Software Engineer,"xx,xxx/yr"
125,New Delhi (India),Guavus,Software Engineer,"xx,xxx/yr"
126,New Delhi (India),CSC,Software Engineer - Monthly,"xx,xxx/mo"
127,New Delhi (India),Aon Hewitt,Software Engineer,"xx,xxx/yr"
128,New Delhi (India),HCL Technologies,Software Engineer - Monthly,"xx,xxx/mo"
129,New Delhi (India),NIIT Technologies,Software Engineer - Monthly,"xx,xxx/mo"
130,New Delhi (India),QA InfoTech,Software Engineer,"xx,xxx/yr"
131,New Delhi (India),Samsung R&D Institute India - Bangalore,Software Engineer - Monthly,"xx,xxx/mo"
132,New Delhi (India),SCA Technologies,Software Engineer,"xx,xxx/yr"
133,New Delhi (India),Sopra Steria,Software Engineer - Monthly,"xx,xxx/mo"
134,New Delhi (India),Xchanging,Software Engineer,"xx,xxx/yr"
135,New Delhi (India),1mg,Software Engineer,"xx,xxx/yr"
136,New Delhi (India),Times Internet,Software Engineer,"xx,xxx/yr"
