,city,company,jobTitle,meanPay
84,New Delhi (India),Innovaccer,Data Scientist - Monthly,"xx,xxx/mo"
85,New Delhi (India),Incedo,Data Scientist,"xx,xxx/yr"
86,New Delhi (India),Opera Solutions,Data Scientist,"xx,xxx/yr"
87,New Delhi (India),Iris Software,Data Scientist - Contractor,"xx,xxx/yr"
88,New Delhi (India),RateGain,Data Scientist - Monthly,"xx,xxx/mo"
89,New Delhi (India),RateGain,Data Scientist,"xx,xxx/yr"
90,New Delhi (India),GroupM,Data Scientist - Monthly Intern,"xx,xxx/mo"
91,New Delhi (India),Michelin,Data Scientist,"xx,xxx/yr"
92,New Delhi (India),Shopclues,Data Scientist - Monthly Intern,"xx,xxx/mo"
93,New Delhi (India),Virtual Employee,Data Scientist - Monthly,"xx,xxx/mo"
94,New Delhi (India),ION Trading,Data Scientist,"xx,xxx/yr"
95,New Delhi (India),Wingify,Data Scientist,"xx,xxx/yr"
96,New Delhi (India),Innoplexus,Data Scientist,"xx,xxx/yr"
97,New Delhi (India),Q3 Technologies,Data Scientist,"xx,xxx/yr"
98,New Delhi (India),Monster Com India,Data Scientist,"xx,xxx/yr"
99,New Delhi (India),1mg,Data Scientist,"xx,xxx/yr"
100,New Delhi (India),Tata Power DDL,Data Scientist - Monthly Intern,0/mo
101,New Delhi (India),Boston Analytics,Data Scientist - Monthly,0/mo
102,New Delhi (India),LIBSYS (India),Data Scientist,0/yr
103,New Delhi (India),FreeCharge,Data Scientist - Monthly Intern,"xx,xxx/mo"
104,New Delhi (India),Internshala,Data Scientist - Intern,"xx,xxx/yr"
105,New Delhi (India),Ecom Express,Data Scientist - Monthly Intern,"xx,xxx/mo"
106,New Delhi (India),Moglix,Data Scientist,"xx,xxx/yr"
107,New Delhi (India),AnywhereWorks,Data Scientist,"xx,xxx/yr"
108,New Delhi (India),Usha International Limited,Data Scientist,"xx,xxx/yr"
109,New Delhi (India),Dainik Bhaskar,Data Scientist,"xx,xxx/yr"
110,New Delhi (India),DB Corp,Data Scientist,"xx,xxx/yr"
111,New Delhi (India),ValueFirst Digital Media,Data Scientist - Monthly Intern,"xx,xxx/mo"
112,New Delhi (India),Upwork,Data Scientist - Monthly Intern,"xx,xxx/mo"
113,New Delhi (India),Shine,Data Scientist,"xx,xxx/yr"
114,New Delhi (India),GETIT Infoservices PVT LTD,Data Scientist - Monthly,"xx,xxx/mo"
115,New Delhi (India),Icreon Communications,Data Scientist,"xx,xxx/yr"
116,New Delhi (India),Orange Business Services,Data Scientist,"xx,xxx/yr"
117,New Delhi (India),Valiance Solutions,Data Scientist - Monthly Intern,"xx,xxx/mo"
118,New Delhi (India),Elucidata (MA),Data Scientist,"xx,xxx/yr"
119,New Delhi (India),edwisor,Data Scientist - Monthly,"xx,xxx/mo"
120,New Delhi (India),Elucidata (MA),Data Scientist - Monthly Intern,0/mo
121,New Delhi (India),Spice Money,Data Scientist,0/yr
122,New Delhi (India),Roposo,Data Scientist,0/yr
123,New Delhi (India),Octro,Data Scientist - Monthly,"xx,xxx/mo"
124,New Delhi (India),RedCarpet,Data Scientist - Monthly Intern,"xx,xxx/mo"
125,New Delhi (India),BluePi,Data Scientist,"xx,xxx/yr"
126,New Delhi (India),BlueStacks,Data Scientist,"xx,xxx/yr"
